learner_id,date,kpi_value
L002002,8/11/2025,85.09
L002530,9/14/2025,62.7
L001475,12/15/2025,69.22
L001542,4/4/2025,52.61
L002642,9/23/2025,78.33
L002234,2/6/2025,57.47
L002238,6/27/2025,78.93
L002954,5/20/2025,57.04
L001540,1/12/2025,61.88
L001362,2/9/2025,58.23
L001245,1/6/2026,76.22
L002682,1/24/2025,48.68
L001155,12/8/2025,56.15
L001973,1/2/2026,56.14
L001749,4/18/2025,55.12
L001601,4/21/2025,70.84
L000511,8/17/2025,76.51
L001192,7/30/2025,66.2
L000806,12/1/2025,66.84
L001023,2/6/2025,51.02
L002606,1/14/2025,60.11
L002477,7/10/2025,73.18
L002000,2/20/2025,55.09
L002790,3/23/2025,56.69
L001126,12/2/2025,80.67
L002055,8/11/2025,74.17
L000361,6/24/2025,56.81
L000892,6/21/2025,78.84
L001707,12/28/2025,84.54
L000865,7/11/2025,66.03
L002220,11/20/2025,71.49
L001500,4/4/2025,56.61
L002531,4/21/2025,50.28
L000342,11/22/2025,85.06
L002372,7/22/2025,51.78
L002248,2/22/2025,59.89
L002549,5/28/2025,65.21
L000711,11/8/2025,70.99
L002793,5/13/2025,55.36
L001779,9/20/2025,69.22
L002131,7/2/2025,75.2
L000074,3/7/2025,61.66
L000234,10/4/2025,76.34
L002452,12/16/2025,80.89
L002902,9/2/2025,88.7
L000311,1/29/2026,82.62
L001506,9/16/2025,76.26
L000510,1/1/2025,63.51
L001636,5/4/2025,50.98
L002581,12/5/2025,57.01
L002160,12/11/2025,90.97
L000050,11/3/2025,88.29
L002834,1/11/2025,49.36
L001287,3/29/2025,55.5
L002370,8/1/2025,53.87
L001448,1/1/2026,74.27
L000139,9/17/2025,75.99
L002382,10/3/2025,88.51
L002030,3/15/2025,55.32
L000405,3/2/2025,54.95
L002777,1/15/2026,81.42
L002167,1/12/2026,53.57
L000389,4/14/2025,52.67
L002550,1/28/2026,67.2
L002377,2/27/2025,54.54
L001449,1/31/2026,66.93
L002020,5/20/2025,66.16
L001989,5/23/2025,49.74
L001258,8/29/2025,74.87
L002026,9/4/2025,88.67
L000468,12/22/2025,51.9
L001468,4/25/2025,65.67
L002675,7/17/2025,78.19
L001055,8/16/2025,67.64
L001495,8/19/2025,83.21
L001359,7/20/2025,78.9
L001166,12/16/2025,55.3
L000863,3/8/2025,53.67
L000147,2/28/2025,55.95
L001127,7/30/2025,75.09
L001925,1/18/2026,54.4
L002762,8/21/2025,81.82
