course_id,lift,p_value,avg_score,score_impact,insights
M0001,0.097,0.0,37.4,0.2737,Ideal Success
M0002,0.0628,0.0012,42.1,0.0663,General Improvement
M0003,0.1432,0.0,33.9,-0.0844,General Improvement
M0004,0.1541,0.0,39.0,-0.3313,Exam Mismatch
M0005,0.1374,0.0,27.7,0.2069,Ideal Success
M0006,0.049,0.0136,34.5,0.1131,Ideal Success
M0007,0.169,0.0,44.7,-0.0492,General Improvement
M0008,0.1108,0.0,36.6,-0.1192,Exam Mismatch
M0009,0.1,0.0,31.4,0.2528,Ideal Success
M0010,0.0936,0.0002,38.5,0.2655,Ideal Success
M0011,0.1436,0.0,46.0,-0.1594,Exam Mismatch
M0012,0.1827,0.0,31.4,-0.1912,Exam Mismatch
M0013,0.0187,0.2821,25.1,-0.0982,Inconclusive Results (No Significant Change)
M0014,0.1096,0.0,35.8,0.1739,Ideal Success
M0015,0.1746,0.0,33.0,0.2095,Ideal Success
M0016,0.1359,0.0002,38.1,-0.5961,Exam Mismatch
M0017,0.0988,0.0,37.7,0.2546,Ideal Success
M0018,0.1331,0.0,38.7,0.4339,Ideal Success
M0019,0.1274,0.0,27.3,-0.3126,Exam Mismatch
M0020,0.0782,0.0001,38.9,-0.5311,Exam Mismatch
M0021,0.1507,0.0,35.8,-0.0525,General Improvement
M0022,0.1831,0.0,36.2,0.2491,Ideal Success
M0023,0.09,0.0,34.3,0.461,Ideal Success
M0024,0.0938,0.0,24.9,-0.4627,Exam Mismatch
M0025,0.1653,0.0,32.3,-0.2023,Exam Mismatch
M0026,0.0962,0.0,34.0,-0.1018,Exam Mismatch
M0027,0.0727,0.0035,30.2,-0.0431,General Improvement
M0028,0.017,0.3197,38.0,0.1736,Inconclusive Results (No Significant Change)
M0029,0.1204,0.0,36.8,-0.1831,Exam Mismatch
M0030,0.148,0.0,35.1,0.1539,Ideal Success
M0031,0.1615,0.0,31.6,0.1199,Ideal Success
M0032,0.1579,0.0,29.2,-0.0794,General Improvement
M0033,0.1462,0.0,33.3,0.4706,Ideal Success
